Artist,Song Title,Album,Year,Top topic,Second topic,third topic,fourth topic,fifth topic
Run-DMC,Peter Piper,Raising Hell,1986,storytelling,life,society,life,biology
Snoop Dogg,Luv Drunk,Malice N Wonderland,2009,society,music,society,life,biology
Coolio,Cruisin',Gangsta's Paradise,1995,storytelling,music,society,life,biology
Wu-Tang Clan,Rushing Elephants,8 Diagrams,2007,storytelling,music,society,life,biology
Outkast,Outkast Speakerboxxx  The Love Below Dracula's Wedding,Speakerboxxx / The Love Below,2003,storytelling,mythology,society,life,biology
Beastie Boys,She's Crafty,Licensed To Ill,1986,life,storytelling,society,life,biology
Tupac,Fair Xchange,Better Dayz,2002,life,storytelling,society,life,biology
Wu-Tang Clan,Hollow Bones,The W,2000,life,storytelling,society,life,biology
Jay-Z,Jay-Z Vol 3 Life And Times Of S Carter Is That Yo Bitch?[UKEurope Edition Track],Vol. 3... Life And Times Of S. Carter,1999,music,storytelling,society,life,biology
Snoop Dogg,"You Can Put It In A Zag, I'mma Put It In A Blun",Mac &amp; Devin Go To High School,2011,music,storytelling,society,life,biology
Tupac,Just Like Daddy (1),Makaveli - The Don Killuminati: The 7 Day Theory,1996,music,storytelling,society,life,biology
Tupac,Just Like Daddy,Makaveli - The Don Killuminati: The 7 Day Theory,1996,music,storytelling,society,life,biology
Chance the Rapper,How Grea,Coloring Book,2016,religion,storytelling,society,life,biology
Wu-Tang Clan,Hard To Kill,Wu-Chronicles: Chapter II,2001,society,storytelling,society,life,biology
LL Cool J,One Shot At Love,Walking With The Panther,1989,storytelling,war,society,life,biology
Jay-Z,Breathe Easy (Lyrical Exercise),The Blueprint,2001,society,biology,storytelling,life,biology
A Tribe Called Quest,Steppin' It Up,The Love Movement,1998,society,geography,storytelling,life,biology
Busta Rhymes,Steppin' It Up,The Abstract And The Dragon,2014,society,geography,storytelling,life,biology
De La Soul,Nosed Up,And The Anonymous Nobody,2016,society,geography,storytelling,life,biology
Beastie Boys,B-Boy Bouillabaisse,Paul's Boutique,1989,society,life,storytelling,life,biology
Eminem,Renegade,Curtain Call,2005,society,life,storytelling,life,biology
Eminem,Searchin',Infinite,1996,society,life,storytelling,life,biology
Lil Wayne,Green Ranger,Dedication 4,2012,society,life,storytelling,life,biology
Outkast,Outkast Speakerboxxx  The Love Below Rese,Speakerboxxx / The Love Below,2003,society,life,storytelling,life,biology
Public Enemy,You're Gonna Get Yours,Yo! Bum Rush The Show,1987,society,life,storytelling,life,biology
Snoop Dogg,2001,Tha Doggfather,1996,society,life,storytelling,life,biology
Tupac,No More Pain,All Eyez On Me,1996,society,life,storytelling,life,biology
Slum Village,Multiply,Slum Village,2005,society,math,storytelling,life,biology
Busta Rhymes,My Type Of Party,Catastrophic,2012,society,music,storytelling,life,biology
Lil Wayne,I'm Blooded (1),Da Drought 3,2007,society,music,storytelling,life,biology
Lil Wayne,I'm Blooded,Da Drought 3,2007,society,music,storytelling,life,biology
Lil Wayne,Inkredible Remi,Sorry 4 The Wait,2011,society,music,storytelling,life,biology
Snoop Dogg,Doin' Too Much,No Limit Top Dogg,1999,society,music,storytelling,life,biology
Lil Wayne,Mercy,Dedication 4,2012,music,religion,storytelling,life,biology
Dr Dre,Bang Bang,2001,1999,geography,society,storytelling,life,biology
Ice Cube,The Funeral (Intro),Death Certificate,1991,life,society,storytelling,life,biology
Snoop Dogg,Bo$$ Playa,Paid Tha Cost To Be Da Boss,2002,life,society,storytelling,life,biology
Snoop Dogg,Snoop's Upside Your Head,Tha Doggfather,1996,life,society,storytelling,life,biology
Busta Rhymes,Get Out!!,Anarchy,2000,music,society,storytelling,life,biology
Coolio,For My Sistas,Gangsta's Paradise,1995,music,society,storytelling,life,biology
Kanye West,Slow Jamz,College Dropout,2004,music,society,storytelling,life,biology
Run-DMC,Can You Rock It Like This,King Of Rock,1985,music,society,storytelling,life,biology
The Notorius BIG,Me &amp; My Bitch,Ready To Die,1994,music,society,storytelling,life,biology
MC Hammer,Help The Children,Please Hammer Don't Hurt 'Em,1990,society,storytelling,war,life,biology
Busta Rhymes,Pardon My Ways Ele 2 Exclusive,The Abstract And The Dragon,2014,society,storytelling,biology,life,biology
Lil Wayne,How To Love,Tha Carter IV,2011,storytelling,society,biology,math,biology
Dr Dre,Stranded On Death Row,The Chronic,1992,society,storytelling,life,math,biology
Busta Rhymes,Add On Interlude,The Abstract And The Dragon,2014,society,biology,music,math,biology
Busta Rhymes,Intro - The Abstract And The Dragon,The Abstract And The Dragon,2014,society,storytelling,music,math,biology
Chance the Rapper,The Tragedy,Merry Christmas Lil' Mama,2016,storytelling,biology,society,math,biology
Beastie Boys,Flowin' Prose,Hello Nasty,1998,society,storytelling,biology,meanings,biology
Wu-Tang Clan,"Wu-Tang Clan RZA Presents Wu-Tang Killa Bees: The Swarm, Vol 1 Cobra Clutch","RZA Presents Wu-Tang Killa Bees: The Swarm, Vol. 1",1998,storytelling,society,art,music,biology
Wu-Tang Clan,Thirsty[Bonus Track],Killa Beez: The Sting,2002,storytelling,biology,biology,music,biology
Tupac,Tupac Strictly 4 My NIGGAZ Guess Who's Back,Strictly 4 My N.I.G.G.A.Z.,1993,society,music,biology,music,biology
2 Live Crew,2 Live is Here,The Real One,1998,society,storytelling,biology,music,biology
A Tribe Called Quest,Footprints,People's Instinctive Travels and the Paths of Rhythm,1990,society,storytelling,biology,music,biology
Busta Rhymes,We Home,The Return Of The Dragon: The Abstract Went On Vacation,2015,society,storytelling,biology,music,biology
LL Cool J,Ur Only A Customer,Exit 13,2008,society,storytelling,biology,music,biology
LL Cool J,Can't Explain I,The DEFinition,2004,society,storytelling,biology,music,biology
Snoop Dogg,True Lies,Tha Last Meal,2000,society,storytelling,biology,music,biology
Tupac,Got My Mind Made Up,All Eyez On Me,1996,society,storytelling,biology,music,biology
Busta Rhymes,Do My Thing,The Coming,1996,society,storytelling,culture,music,biology
Slum Village,Tainted,"Trinity (Past, Present And Future)",2002,storytelling,society,geography,music,biology
A Tribe Called Quest,God Lives Through,Midnight Marauders,1993,society,storytelling,geography,music,biology
Public Enemy,I Stand Accused,Muse Sick-N-Hour Mess Age,1994,society,life,government,music,biology
Dr Dre,Nigga Witta Gun,The Chronic,1992,society,biology,life,music,biology
Outkast,Outkast Speakerboxxx  The Love Below GhettoMusick,Speakerboxxx / The Love Below,2003,society,biology,life,music,biology
Run-DMC,"Roots, Rap, Reggae",King Of Rock,1985,music,culture,life,music,biology
Chance the Rapper,No Problem,Coloring Book,2016,society,life,life,music,biology
Public Enemy,Game Face,He Got Game,1998,society,life,life,music,biology
De La Soul,Declaration,Art Official Intelligence: Mosaic Thump,2000,society,music,life,music,biology
Lil Wayne,Got Money,Tha Carter III,2008,storytelling,music,life,music,biology
Lil Wayne,Live Life,Dedication 5,2013,society,religion,life,music,biology
2 Live Crew,Get It Girl,The 2 Live Crew Is What We Are,1986,storytelling,society,life,music,biology
Chance the Rapper,Pusha Man  Paranoia,Acid Rap,2013,storytelling,society,life,music,biology
Coolio,I Remember,It Takes A Thief,1994,storytelling,society,life,music,biology
De La Soul,Simply,AOI: Bionix,2001,storytelling,society,life,music,biology
De La Soul,I Am I Be,Buhloone Mind State,1993,storytelling,society,life,music,biology
De La Soul,Verbal Clap,The Grind Date,2004,storytelling,society,life,music,biology
Dr Dre,Ackrite,2001,1999,storytelling,society,life,music,biology
Dr Dre,It's All On Me,Compton,2015,storytelling,society,life,music,biology
Drake,Teenage Fever,More Life,2017,storytelling,society,life,music,biology
Drake,Find Your Love,Thank Me Later,2010,storytelling,society,life,music,biology
Lil Wayne,SportsCenter,Dedication 2: Gangsta Grillz,2006,storytelling,society,life,music,biology
Lil Wayne,Drop The World,Rebirth,2010,storytelling,society,life,music,biology
Lil Wayne,Start A Fire,Tha Carter V,2017,storytelling,society,life,music,biology
LL Cool J,I Want You,Radio,1985,storytelling,society,life,music,biology
LL Cool J,Best Dress,Todd Smith,2006,storytelling,society,life,music,biology
Nas,Dance,God's Son,2002,storytelling,society,life,music,biology
Outkast,Y'All Scared,Aquemini,1998,storytelling,society,life,music,biology
Public Enemy,Supermans Black In The Building,New Whirl Odor,2005,storytelling,society,life,music,biology
Slum Village,1 Nite,Evolution,2013,storytelling,society,life,music,biology
Tupac,Breathin,Until The End Of Time (Disc One),2001,storytelling,society,life,music,biology
A Tribe Called Quest,Keep It Rollin',Midnight Marauders,1993,society,storytelling,life,music,biology
Beastie Boys,Professor Booty,Check Your Head,1992,society,storytelling,life,music,biology
Chance the Rapper,Everything's Good (Good Ass Outro),Acid Rap,2013,society,storytelling,life,music,biology
Coolio,Let's Do I,My Soul,1997,society,storytelling,life,music,biology
De La Soul,Rock CoKane Flow,The Grind Date,2004,society,storytelling,life,music,biology
Eminem,The Real Slim Shady,Curtain Call,2005,society,storytelling,life,music,biology
Eminem,Stay Wide Awake,Relapse,2009,society,storytelling,life,music,biology
Eminem,Don't Front[Call of Duty: Ghosts Bonus Track],The Marshall Mathers LP 2,2013,society,storytelling,life,music,biology
Eminem,The Real Slim Shady,The Marshall Mathers LP,2000,society,storytelling,life,music,biology
Ice Cube,Look Who's Burnin',Death Certificate,1991,society,storytelling,life,music,biology
Jay-Z,Do U Wanna Ride,Kingdom Come,2006,society,storytelling,life,music,biology
Jay-Z,Squeeze 1s,The Dynasty Roc La Familia,2000,society,storytelling,life,music,biology
Kanye West,Heartless,808s &amp; Heartbreak,2008,society,storytelling,life,music,biology
Kanye West,Through The Wire,College Dropout,2004,society,storytelling,life,music,biology
Kendrick Lamar,The Heart Pt 2,Overly Dedicated,2010,society,storytelling,life,music,biology
Lil Wayne,Thinkin About You,Dedication 5,2013,society,storytelling,life,music,biology
Lil Wayne,IANAHB,I Am Not A Human Being II,2013,society,storytelling,life,music,biology
Lil Wayne,Selsun Blue,Sorry 4 The Wait 2,2015,society,storytelling,life,music,biology
Lil Wayne,Outro,Tha Carter IV,2011,society,storytelling,life,music,biology
LL Cool J,LL Cool J GOAT (Greatest Of All Time) Imagine Tha,G.O.A.T. (Greatest Of All Time),2000,society,storytelling,life,music,biology
MC Hammer,What Happened To Our Hood,Active Duty,2001,society,storytelling,life,music,biology
Nas,Trust[iTunes Bonus Track],Life Is Good,2012,society,storytelling,life,music,biology
Nas,Life We Chose,Nastradamus,1999,society,storytelling,life,music,biology
Outkast,Spaghetti Junction,Stankonia,2000,society,storytelling,life,music,biology
Public Enemy,Resurrection,He Got Game,1998,society,storytelling,life,music,biology
Public Enemy,Rise,Rebirth Of A Nation,2006,society,storytelling,life,music,biology
Run the Jewels,Snug Again (Little Shalimar Remix),Meow The Jewels,2015,society,storytelling,life,music,biology
Run the Jewels,Love Again (Akinyele Back),Run The Jewels 2,2014,society,storytelling,life,music,biology
Slum Village,Let It Go,Evolution,2013,society,storytelling,life,music,biology
Slum Village,Slum Village Fan-Tas-Tic Vol 1 The Look Of Love,Fan-Tas-Tic Vol 1.,2005,society,storytelling,life,music,biology
Slum Village,"Slum Village Fantastic, Vol 2 Conant Gardens","Fantastic, Vol. 2",2000,society,storytelling,life,music,biology
Snoop Dogg,Two Or More,COOLAID,2016,society,storytelling,life,music,biology
Snoop Dogg,Secrets,Malice N Wonderland,2009,society,storytelling,life,music,biology
Snoop Dogg,Ballin',Paid Tha Cost To Be Da Boss,2002,society,storytelling,life,music,biology
Tupac,This Life I Lead,Better Dayz,2002,society,storytelling,life,music,biology
Tupac,Don't You Trust Me? (1),Loyal To The Game,2004,society,storytelling,life,music,biology
Tupac,Don't You Trust Me?,Loyal To The Game,2004,society,storytelling,life,music,biology
Tupac,Good Life,Until The End Of Time (Disc One),2001,society,storytelling,life,music,biology
Wu-Tang Clan,Wu-Tang Clan Dreddy Kruger Presents Think Differently Music: Wu-tang Meets The Indie Culture Give It Up,Dreddy Kruger Presents... Think Differently Music: Wu-tang Meets The Indie Culture,2005,society,storytelling,life,music,biology
A Tribe Called Quest,Sucka Nigga,Midnight Marauders,1993,society,storytelling,meanings,music,biology
A Tribe Called Quest,Sucka Nigga,The Anthology,1999,society,storytelling,meanings,music,biology
Jay-Z,Izzo (HOVA),The Blueprint,2001,society,life,music,music,biology
Jay-Z,Jay-Z Vol 3 Life And Times Of S Carter Hova Song (Intro),Vol. 3... Life And Times Of S. Carter,1999,society,life,music,music,biology
Kendrick Lamar,Determined,Kendrick Lamar,2009,society,life,music,music,biology
Lil Wayne,Fo Sheezy,500 Degreez,2002,society,life,music,music,biology
LL Cool J,Nitro,Walking With The Panther,1989,society,life,music,music,biology
Jay-Z,22 Two's,Reasonable Doubt,1996,society,music,music,music,biology
Slum Village,Slum Village Fan-Tas-Tic Vol 1 How We Bullshi,Fan-Tas-Tic Vol 1.,2005,society,religion,music,music,biology
Lil Wayne,Kisha (1),Tha Block Is Hot,1999,life,society,music,music,biology
Lil Wayne,Kisha,Tha Block Is Hot,1999,life,society,music,music,biology
A Tribe Called Quest,Scenario (Remix),The Love Movement,1998,storytelling,society,music,music,biology
Dr Dre,Lyrical Gangbang,The Chronic,1992,storytelling,society,music,music,biology
Jay-Z,She's Coming Home With Me,Unfinished Business,2004,storytelling,society,music,music,biology
Lil Wayne,Live From 504,Da Drought 3,2007,storytelling,society,music,music,biology
Lil Wayne,Get 'Em,Dedication 2: Gangsta Grillz,2006,storytelling,society,music,music,biology
Lil Wayne,Sweet Dreams[Exclusive Track],No Ceilings,2009,storytelling,society,music,music,biology
LL Cool J,1-900-LL Cool J,Walking With The Panther,1989,storytelling,society,music,music,biology
Ice Cube,Who Got The Camera?,The Predator,1992,life,storytelling,music,music,biology
2 Live Crew,Word II,Move Somethin',1987,society,storytelling,music,music,biology
Busta Rhymes,Crazy,Year Of The Dragon,2012,society,storytelling,music,music,biology
Eminem,Sing For The Momen,Curtain Call,2005,society,storytelling,music,music,biology
Eminem,Sing For The Momen,The Eminem Show,2002,society,storytelling,music,music,biology
Kanye West,Creepers,Cruel Summer,2012,society,storytelling,music,music,biology
LL Cool J,The Boomin' System,Mama Said Knock You Out,1990,society,storytelling,music,music,biology
Public Enemy,Timebomb,Yo! Bum Rush The Show,1987,society,storytelling,music,music,biology
Run-DMC,Come On Everybody,Down With The King,1993,society,storytelling,music,music,biology
Snoop Dogg,Issues,Tha Last Meal,2000,society,storytelling,music,music,biology
The Notorius BIG,Spit Your Game,Duets: The Final Chapter,2005,society,storytelling,music,music,biology
Wu-Tang Clan,Evil Deeds,Wu-Tang Chamber Music,2009,society,storytelling,music,music,biology
2 Live Crew,2 Live Crew Banned in the USA Do the Bar,Banned in the U.S.A.,1990,storytelling,biology,politics,music,biology
Eminem,It's Been Real,Straight From The Vault,2011,storytelling,society,politics,music,biology
"Tyler, the Creator",Inglorious,Bastard,2009,society,life,religion,music,biology
Outkast,Outkast Speakerboxxx  The Love Below Tomb Of The Boom,Speakerboxxx / The Love Below,2003,society,storytelling,religion,music,biology
Slum Village,Slum Village Fan-Tas-Tic Vol 1 Pregnant (T3),Fan-Tas-Tic Vol 1.,2005,society,storytelling,religion,music,biology
LL Cool J,You Can't Dance,Radio,1985,music,life,society,music,biology
Jay-Z,On To The Next One,The Blueprint 3,2009,society,life,society,music,biology
De La Soul,Area,Buhloone Mind State,1993,storytelling,life,society,music,biology
Drake,KMT,More Life,2017,storytelling,life,society,music,biology
Eminem,No One's Iller Than Me,Slim Shady EP,1998,storytelling,life,society,music,biology
